req_count,error_rate,avg_response_time,max_response_time,payload_mean,unique_endpoints,repeat_rate,status_entropy
12,0.0921020162951702,191.71250098184188,376.7225258387808,215.0310157538197,2,0.3403394540962927,0.5956346326312054
25,0.09004021010050337,175.9081697641338,398.50158192129965,395.85639946182334,5,0.5554440816128798,0.9011086125296834
37,0.08777767963269838,120.82288051170607,284.8148196242379,112.65383916341345,2,0.22007688387995242,0.7933122366509939
44,0.07279120172987523,163.16167579271564,369.92397895683587,315.50873454667305,5,0.3657809475939443,0.6997863133089472
37,0.04154471577912347,70.18188567654045,342.6731654057198,457.6867642755656,4,0.5124988063101346,0.8773332443586684
6,0.049800076398214724,118.63407635059708,307.6592672920665,343.1528484369648,2,0.5530567579331152,0.5759203843709766
40,0.08931312597132973,76.15485639525963,152.35844094733358,354.09428157206264,3,0.326063444518962,0.9699836057276776
41,0.09702748029962849,72.19047623081796,359.26949452118777,407.74008263204956,3,0.5476764864849301,1.0312668768531679
20,0.033510710133853316,163.31680199968736,381.45116872159997,267.69401645087146,4,0.4274914670451379,0.9027252296312328
28,0.003723003758029675,69.48108476371559,394.8020589655838,258.66406552662806,3,0.48173290008381,0.9813780414171365
35,0.0027712140138273058,66.87646270833471,237.0485485075465,412.26292223742064,2,0.2186566627447618,0.7146037318621186
48,0.03410905136595112,172.45273555213788,280.2047870684028,321.9610572859768,3,0.5168414565864194,0.6679579992453344
37,0.03437039990963472,90.41441232259349,189.75321477947384,152.22453064082808,4,0.28537406766077295,0.5713442797040696
16,0.09533842113213233,152.27401067072782,224.43757852482693,311.1064756651999,5,0.4917235433031886,1.1803447217256358
9,0.08055559123522077,101.8387443925166,354.5130414238087,431.1444368972132,3,0.3243049196707333,0.5320126088899687
39,0.09192552986490587,146.9761669485523,277.56298695262774,498.18514370204497,3,0.5206187469996019,1.0929067370592105
43,0.02366329927383838,196.75661608475758,195.4407369368774,110.55170326746477,5,0.26471862142038577,0.6688616829206903
48,0.008462524848447185,105.72916103672571,316.8310373111447,480.7404153053621,5,0.3313584007953931,1.0538647084443895
38,0.07579916694315073,120.30531962339293,362.61416637458416,414.67134916031466,5,0.3646243863232169,0.8233274445297922
29,0.046422548835868875,57.887730891293614,235.31295484132906,264.48121529683436,2,0.23159752997051825,1.0173076712656095
13,0.07238097060907622,164.82268480572844,250.50322894202122,158.92066820607886,2,0.5344164996318777,0.8755342476099511
35,0.08280126915250552,121.32690926485712,334.30312800150995,381.9909810040136,4,0.3319674322565848,0.9508395239134022
33,0.07963669031331037,119.71328076579665,241.4179981013162,341.8864708765676,4,0.5950135064219619,1.0777598484364432
25,0.02310140974864553,69.12450446278375,278.63636318776935,416.99238635050773,5,0.5837343009722569,1.1257369139958002
37,0.03212958397291441,116.50702483038582,290.91945860414796,436.6412414317748,5,0.5636695461968813,1.064890890004195
30,0.0028526766190236533,64.9524438630605,270.4100100507557,180.5388125383137,2,0.5473395744147045,0.7641970947558019
38,0.020819261105028478,163.30871466035802,333.46976386687606,238.20560342277906,3,0.2441912734369278,1.1550321651915483
